㑯,㑯,㑔
㑳,㑳,㑇
㑶,㑶,㐹
㒓,㒓,𠉂
㒺,㒺,罔
㓂,㓂,寇
㓨,㓨,刾
㕁,㕁,却
㕑,㕑,厨
㕘,㕘,参
㕥,㕥,以
㗲,㗲,𠵾
㘚,㘚,㘎
㘭,㘭,坳
㜄,㜄,㚯
㜏,㜏,㛣
㜢,㜢,𡞱
㜷,㜷,𡝠
㝛,㝛,宿
㝠,㝠,冥
㞞,㞞,𪨊
㠀,㠀,岛
㠏,㠏,㟆
㠣,㠣,𫵷
㠯,㠯,以
㠶,㠶,帆
㡌,㡌,帽
㢘,㢘,廉
㢝,㢝,𢋈
㤙,㤙,恩
㥦,㥦,惬
㥮,㥮,㤘
㦎,㦎,𢛯
㨗,㨗,捷
㨪,㨪,晃
㨿,㨿,据
㩗,㩗,携
㩜,㩜,㨫
㩦,㩦,携
㩳,㩳,㧐
㪚,㪚,散
㪟,㪟,敦
㬉,㬉,暖
㬪,㬪,叠
㯭,㯭,橹
㱃,㱃,饮
㳒,㳒,法
㴱,㴱,深
㷿,㷿,𤈷
㺏,㺏,𤠋
㼝,㼝,碗
㽞,㽞,留
㿜,㿜,瘪
㿧,㿧,𤽯
䀹,䀹,𥅴
䁪,䁪,𥇢
䁻,䁻,䀥
䃮,䃮,鿎
䈰,䈰,筲
䉙,䉙,𥬀
䉬,䉬,𫂈
䉲,䉲,𥮜
䊀,䊀,糊
䊭,䊭,𥺅
䊷,䊷,䌶
䋙,䋙,䌺
䋚,䋚,䌻
䋹,䋹,䌿
䋻,䋻,䌾
䋿,䋿,𦈓
䌈,䌈,𦈖
䌋,䌋,𦈘
䌖,䌖,𦈜
䌝,䌝,𦈟
䌟,䌟,𦈞
䌥,䌥,𦈠
䌰,䌰,𦈙
䎱,䎱,䎬
䓣,䓣,𬜯
䕳,䕳,𦰴
䗬,䗬,蜂
䗿,䗿,𧉞
䘏,䘏,恤
䘑,䘑,脉
䘚,䘚,卒
䙡,䙡,䙌
䛐,䛐,词
䛡,䛡,话
䜀,䜀,䜧
䝔,䝔,獾
䝻,䝻,𧹕
䝼,䝼,䞍
䞈,䞈,𧹑
䠀,䠀,蹚
䠶,䠶,射
䡵,䡵,𫟦
䢨,䢨,𨑹
䥇,䥇,䦂
䥑,䥑,鿏
䥕,䥕,𬭯
䥥,䥥,镰
䥩,䥩,𨱖
䥱,䥱,䥾
䦘,䦘,𨸄
䦛,䦛,䦶
䦟,䦟,䦷
䦳,䦳,𨷿
䧢,䧢,𨸟
䪏,䪏,𩏼
䪗,䪗,𩐀
䪘,䪘,𩏿
䫴,䫴,𩖗
䬃,䬃,飒
䬘,䬘,𩙮
䬝,䬝,𩙯
䬞,䬞,𩙧
䭀,䭀,𩠇
䭃,䭃,𩠈
䭾,䭾,驮
䭿,䭿,𩧭
䮄,䮄,𫠊
䮝,䮝,𩧰
䮞,䮞,𩨁
䮠,䮠,𩧿
䮫,䮫,𩨇
䮳,䮳,𩨏
䮾,䮾,𩧪
䯀,䯀,䯅
䰟,䰟,魂
䰾,䰾,鲃
䱙,䱙,𩾈
䱬,䱬,𩾊
䱰,䱰,𩾋
䱷,䱷,䲣
䱽,䱽,䲝
䲁,䲁,鳚
䲖,䲖,𩾂
䲘,䲘,鳤
䲰,䲰,𪉂
䳘,䳘,鹅
䴉,䴉,鹮
䴬,䴬,𪎈
䴴,䴴,𪎋
䶊,䶊,衄
丟,丟,丢
丣,丣,卯
並,並,并
乗,乗,乘
乹,乹,干
乾,乾,干,乾一坛,乾一坛,乾一壇,乾一坛,乾一組,乾一组,乾一组,乾一组,乾上乾下,乾上乾下,乾东,乾东,乾東,乾东,乾为天,乾为天,乾為天,乾为天,乾为阳,乾为阳,乾為陽,乾为阳,乾九,乾九,乾乾,乾乾,乾亨,乾亨,乾仪,乾仪,乾儀,乾仪,乾位,乾位,乾健,乾健,乾健也,乾健也,乾元,乾元,乾光,乾光,乾兴,乾兴,乾興,乾兴,乾冈,乾冈,乾岡,乾冈,乾刘,乾刘,乾劉,乾刘,乾刚,乾刚,乾剛,乾刚,乾务,乾务,乾務,乾务,乾化,乾化,乾卦,乾卦,乾县,乾县,乾縣,乾县,乾台,乾台,乾吉,乾吉,乾启,乾启,乾啟,乾启,乾命,乾命,乾和,乾和,乾嘉,乾嘉,乾图,乾图,乾圖,乾图,乾坤,乾坤,乾城,乾城,乾基,乾基,乾天也,乾天也,乾始,乾始,乾姓,乾姓,乾宁,乾宁,乾寧,乾宁,乾宅,乾宅,乾宇,乾宇,乾安,乾安,乾定,乾定,乾封,乾封,乾居,乾居,乾岗,乾岗,乾崗,乾岗,乾巛,乾巛,乾州,乾州,乾录,乾录,乾錄,乾录,乾律,乾律,乾德,乾德,乾心,乾心,乾忠,乾忠,乾文,乾文,乾断,乾断,乾斷,乾断,乾方,乾方,乾施,乾施,乾旦,乾旦,乾明,乾明,乾昧,乾昧,乾晖,乾晖,乾暉,乾晖,乾景,乾景,乾晷,乾晷,乾曜,乾曜,乾构,乾构,乾構,乾构,乾枢,乾枢,乾樞,乾枢,乾栋,乾栋,乾棟,乾栋,乾步,乾步,乾氏,乾氏,乾沓和,乾沓和,乾沓婆,乾沓婆,乾泉,乾泉,乾淳,乾淳,乾清,乾清,乾渥,乾渥,乾潭,乾潭,乾灵,乾灵,乾靈,乾灵,乾生元,乾生元,乾男,乾男,乾皋,乾皋,乾盛世,乾盛世,乾矢,乾矢,乾祐,乾祐,乾神,乾神,乾穹,乾穹,乾窦,乾窦,乾竇,乾窦,乾竺,乾竺,乾笃,乾笃,乾篤,乾笃,乾符,乾符,乾策,乾策,乾精,乾精,乾紅,乾红,乾红,乾红,乾綱,乾纲,乾纲,乾纲,乾紐,乾纽,乾纽,乾纽,乾絡,乾络,乾络,乾络,乾統,乾统,乾统,乾统,乾維,乾维,乾维,乾维,乾罗,乾罗,乾羅,乾罗,乾花,乾花,乾荫,乾荫,乾蔭,乾荫,乾行,乾行,乾衡,乾衡,乾西,乾西,乾覆,乾覆,乾象,乾象,乾象历,乾象历,乾象歷,乾象历,乾貞,乾贞,乾贞,乾贞,乾貴士,乾贵士,乾贵士,乾贵士,乾貺,乾贶,乾贶,乾贶,乾車,乾车,乾车,乾车,乾軸,乾轴,乾轴,乾轴,乾通,乾通,乾造,乾造,乾道,乾道,乾鉴,乾鉴,乾鑒,乾鉴,乾鈞,乾钧,乾钧,乾钧,乾闥,乾闼,乾闼,乾闼,乾陀,乾陀,乾陵,乾陵,乾隆,乾隆,乾音,乾音,乾顧,乾顾,乾顾,乾顾,乾風,乾风,乾风,乾风,乾首,乾首,乾馬,乾马,乾马,乾马,乾鵠,乾鹄,乾鹄,乾鹄,乾鵲,乾鹊,乾鹊,乾鹊,乾龍,乾龙,乾龙,乾龙,乾，健也,乾，健也,乾，天也,乾，天也,乾乾淨淨,干干净净,乾乾脆脆,干干脆脆,乾泉水,干泉水,乾姊,干姐
亁,亁,干
亂,亂,乱
亙,亙,亘
亝,亝,斋
亞,亞,亚,亞歷山卓,亚历山大,亞塞拜然,阿塞拜疆,亞斯文,阿斯旺
亱,亱,夜
亷,亷,廉
亾,亾,亡
佇,佇,伫
佈,佈,布
佔,佔,占
併,併,并
來,來,来,來著,来着,來著書,来著书,來著作,来著作,來著名,来著名,來著錄,来著录,來著稱,来著称,來著者,来著者,來著述,来著述
侖,侖,仑
侶,侶,侣
俁,俁,俣
係,係,系
俔,俔,伣
俠,俠,侠
俥,俥,伡
俻,俻,备
倀,倀,伥
倆,倆,俩
倈,倈,俫
倉,倉,仓
個,個,个
倐,倐,倏
們,們,们
倖,倖,幸,倖一郎,倖一郎,倖田,倖田
倣,倣,仿
倫,倫,伦
倲,倲,㑈
倸,倸,睬
偉,偉,伟
偑,偑,㐽
側,側,侧,側著,侧着,側著書,侧著书,側著作,侧著作,側著名,侧著名,側著錄,侧著录,側著稱,侧著称,側著者,侧著者,側著述,侧著述
偵,偵,侦,偵蒐,侦搜
偽,偽,伪
傌,傌,㐷
傑,傑,杰
傖,傖,伧
傘,傘,伞
備,備,备,備著,备着,備著書,备著书,備著作,备著作,備著名,备著名,備著錄,备著录,備著稱,备著称,備著者,备著者,備著述,备著述
傚,傚,效
傢,傢,家
傭,傭,佣
傯,傯,偬
傳,傳,传,傳著,传着,傳著書,传著书,傳著作,传著作,傳著名,传著名,傳著錄,传著录,傳著稱,传著称,傳著者,传著者,傳著述,传著述
傴,傴,伛
債,債,债
傷,傷,伤
傾,傾,倾
僂,僂,偻
僅,僅,仅
僉,僉,佥
僊,僊,仙
働,働,动
僑,僑,侨
僕,僕,仆
僞,僞,伪
僤,僤,𫢸
僥,僥,侥
僨,僨,偾
僱,僱,雇
價,價,价
儀,儀,仪
儂,儂,侬
億,億,亿
儈,儈,侩
儉,儉,俭
儌,儌,侥
儐,儐,傧
儔,儔,俦
儕,儕,侪
儘,儘,尽
償,償,偿
儣,儣,𠆲
優,優,优,優先順序,优先级
儲,儲,储
儷,儷,俪
儸,儸,㑩
儺,儺,傩
儻,儻,傥
儼,儼,俨
兇,兇,凶
兌,兌,兑
兎,兎,兔
兒,兒,儿,兒宽,兒宽,兒寬,兒宽
兗,兗,兖
兠,兠,兜
內,內,内,內聯陞,内联升
兩,兩,两
冄,冄,冉
冊,冊,册
冐,冐,冒
冑,冑,胄
冪,冪,幂
冺,冺,泯
凈,凈,净
凍,凍,冻
凙,凙,𪞝
凜,凜,凛
凢,凢,凡
凱,凱,凯,凱薩琳,凯瑟琳
凴,凴,凭
別,別,别,別著,别着
刦,刦,劫
刧,刧,劫
刪,刪,删
刼,刼,劫
剄,剄,刭
則,則,则
剉,剉,锉
剋,剋,克,剋了,剋了,剋架,剋架
剎,剎,刹
剏,剏,创
剗,剗,刬
剙,剙,创
剛,剛,刚
剝,剝,剥
剮,剮,剐
剳,剳,札
剴,剴,剀
創,創,创
剷,剷,铲
剹,剹,戮
剾,剾,𠛅
劃,劃,划,劃著,划着
劄,劄,札
劇,劇,剧
劉,劉,刘
劊,劊,刽
劌,劌,刿
劍,劍,剑
劏,劏,㓥
劑,劑,剂
劒,劒,剑
劚,劚,㔉
効,効,效
勁,勁,劲
勅,勅,敕
勌,勌,倦
勑,勑,敕
動,動,动,動著,动着,動著書,动著书,動著作,动著作,動著名,动著名,動著錄,动著录,動著稱,动著称,動著者,动著者,動著述,动著述,動畫影集,系列动画片
務,務,务
勛,勛,勋
勝,勝,胜
勞,勞,劳
勢,勢,势
勣,勣,𪟝
勦,勦,剿
勩,勩,勚
勱,勱,劢
勳,勳,勋
勵,勵,励
勸,勸,劝
勻,勻,匀
匟,匟,炕
匭,匭,匦
匯,匯,汇,匯流排,总线
匱,匱,匮
匲,匲,奁
匳,匳,奁
區,區,区,區域網,局域网,區域網路,局域网络
協,協,协
卹,卹,恤
卻,卻,却
卽,卽,即
厀,厀,膝
厙,厙,厍
厠,厠,厕
厤,厤,历
厭,厭,厌
厰,厰,厂
厲,厲,厉
厴,厴,厣
參,參,参
叄,叄,叁
叢,叢,丛
吚,吚,咿
吳,吳,吴,吳克羣,吴克羣
吶,吶,呐
呂,呂,吕
呌,呌,叫
呪,呪,咒
咊,咊,和
咼,咼,呙
員,員,员
哯,哯,𠯟
哶,哶,咩
唄,唄,呗
唕,唕,唣
唘,唘,启
唚,唚,吣
唸,唸,念
啎,啎,忤
問,問,问
啑,啑,喋
啓,啓,启
啗,啗,啖
啞,啞,哑
啟,啟,启
啢,啢,唡
啣,啣,衔
喎,喎,㖞
喚,喚,唤
喪,喪,丧
喫,喫,吃
喬,喬,乔,喬治·歐威爾,乔治·奥威尔
單,單,单,單眼相機,单反相机,單鏡反光機,单反相机
喲,喲,哟
嗁,嗁,啼
嗆,嗆,呛
嗇,嗇,啬
嗊,嗊,唝
嗎,嗎,吗
嗚,嗚,呜
嗩,嗩,唢
嗶,嗶,哔
嗹,嗹,𪡏
嘅,嘅,慨
嘆,嘆,叹
嘍,嘍,喽
嘑,嘑,呼
嘓,嘓,啯
嘔,嘔,呕
嘖,嘖,啧
嘗,嘗,尝
嘜,嘜,唛
嘠,嘠,嘎
嘩,嘩,哗
嘮,嘮,唠
嘯,嘯,啸
嘰,嘰,叽
嘵,嘵,哓
嘷,嘷,嗥
嘸,嘸,呒
嘽,嘽,啴
噁,噁,𫫇,噁心,恶心
噅,噅,𠯠
噉,噉,啖
噓,噓,嘘
噚,噚,㖊
噝,噝,咝
噠,噠,哒
噥,噥,哝
噦,噦,哕
噯,噯,嗳
噲,噲,哙
噴,噴,喷
噸,噸,吨
噹,噹,当
嚀,嚀,咛
嚇,嚇,吓
嚌,嚌,哜
嚐,嚐,尝
嚕,嚕,噜
嚙,嚙,啮
嚥,嚥,咽
嚦,嚦,呖
嚨,嚨,咙
嚮,嚮,向
嚲,嚲,亸
嚳,嚳,喾
嚴,嚴,严
嚶,嚶,嘤
囀,囀,啭
囁,囁,嗫
囂,囂,嚣
囅,囅,冁
囈,囈,呓
囉,囉,啰
囌,囌,苏
囑,囑,嘱
囓,囓,啮
囙,囙,因
囪,囪,囱
圅,圅,函
圇,圇,囵
國,國,国
圍,圍,围,圍著,围着,圍著書,围著书,圍著作,围著作,圍著名,围著名,圍著錄,围著录,圍著稱,围著称,圍著者,围著者,圍著述,围著述
園,園,园
圓,圓,圆
圖,圖,图
團,團,团
圞,圞,𪢮
坿,坿,附
垜,垜,垛
垻,垻,坝
埡,埡,垭
埨,埨,𫭢
執,執,执,執著,执著,執行長、,首席执行官、,執行長。,首席执行官。,執行長，,首席执行官，
堅,堅,坚,堅杜拜,坚杜拜,堅貞著,坚贞着
堊,堊,垩
堝,堝,埚
堯,堯,尧
報,報,报,報帳,报账
場,場,场
塊,塊,块
塋,塋,茔
塏,塏,垲
塒,塒,埘
塗,塗,涂,塗著,涂着
塚,塚,冢
塟,塟,葬
塢,塢,坞
塤,塤,埙
塲,塲,场
塵,塵,尘
塸,塸,𫭟
塹,塹,堑
塿,塿,𪣻
墊,墊,垫
墖,墖,塔
墜,墜,坠
墠,墠,𫮃
墮,墮,堕
墰,墰,坛
墳,墳,坟
墻,墻,墙
墾,墾,垦
壇,壇,坛
壈,壈,𡒄
壋,壋,垱
壎,壎,埙
